,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
24,bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00842678,5542368286,25,,1606602661.0,0.00892329,0.00834259,-0.00049465,-5.54456,-323360925.5040302,-5.51271,659071882049.0,990000000000.0,,0.01356626,-38.01276,2021-04-05T04:09:06.433Z,0.00013814,5987.43145,2020-03-13T02:22:57.629Z,"{'times': 69.22312860396802, 'currency': 'usd', 'percentage': 6922.312860396802}",2021-04-12T21:24:55.588Z,16
25,crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.218877,5532423064,26,,168760269.0,0.235805,0.216561,-0.00902705,-3.9609,-232661899.49841025,-4.03571,25263013692.0,30263013692.0,,0.27702,-20.94687,2021-02-22T11:33:57.751Z,0.0121196,1706.93289,2019-02-08T00:00:00.000Z,,2021-04-12T21:24:57.830Z,25
26,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.98,5517881282,27,,163431747.0,2.11,1.97,-0.11815585,-5.62964,-322295711.756588,-5.51859,2779530283.277761,2779530283.0,,5.25,-62.17816,2017-12-19T00:00:00.000Z,0.081637,2331.71079,2020-03-13T02:22:41.168Z,"{'times': 23.627248263858544, 'currency': 'btc', 'percentage': 2362.7248263858546}",2021-04-12T21:24:24.301Z,64
27,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,43.02,5467791264,28,,44537727.0,44.02,42.36,0.126425,0.29471,58527077.0,1.08198,126966143.817914,126966143.817914,,44.02,-2.17402,2021-04-12T07:45:24.639Z,1.89,2183.05282,2020-03-13T02:22:33.711Z,,2021-04-12T21:24:00.338Z,21
28,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,22.06,5288632571,29,,1244948306.0,23.57,21.43,0.171336,0.78278,68223063.0,1.30685,238526146.88641,,,26.32,-15.74947,2021-02-16T11:52:49.193Z,1.16,1811.30619,2020-03-13T02:27:44.591Z,"{'times': 219.5946239651638, 'currency': 'usd', 'percentage': 21959.46239651638}",2021-04-12T21:23:55.929Z,7
29,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,410.1,5136973126,30,6583198009.0,911653509.0,415.62,367.19,39.93,10.78774,506641514.0,10.9418,12485052.083475685,16000000.0,16000000.0,575.15,-28.46276,2021-02-10T06:12:13.409Z,26.02,1481.09872,2020-11-05T09:20:11.928Z,,2021-04-12T21:25:11.379Z,1
30,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,5072558827,31,,7311783917.0,1.01,0.995722,-0.001031,-0.10294,44283305.0,0.88069,5068035362.92,5068035362.92,,1.15,-13.28287,2020-03-13T02:35:42.953Z,0.906729,10.38497,2020-03-12T23:35:12.774Z,,2021-04-12T21:24:13.930Z,17
31,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,258.45,4831365826,32,,1051394359.0,276.75,253.21,-10.87767999,-4.03877,-216001464.60121632,-4.27949,18704020.394239,21000000.0,,438.61,-41.09164,2020-01-14T23:34:56.231Z,42.02,514.93139,2018-11-23T00:00:00.000Z,,2021-04-12T21:25:09.821Z,13
32,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,6.24,4789767495,33,,465106878.0,6.5,6.16,-0.20540777,-3.1869,-142529235.60901645,-2.88971,766200176.272832,,,7.17,-12.84724,2021-04-10T02:50:15.220Z,0.350476,1683.66754,2018-12-07T00:00:00.000Z,"{'times': 12.276553757868253, 'currency': 'usd', 'percentage': 1227.6553757868253}",2021-04-12T21:25:29.152Z,102
33,ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,53.02,4712170582,34,18091558311.0,300144078.0,55.23,49.93,3.07,6.14617,298087459.0,6.7531,88356303.41685824,339228639.484086,339228639.484086,55.23,-3.43129,2021-04-12T09:34:20.226Z,1.15,4538.71744,2019-09-06T00:00:00.000Z,,2021-04-12T21:23:46.729Z,44
