,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
53,celsius-degree-token,cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,5.54,2108581587,54,,20163463,6.36,5.51,-0.81563183,-12.84073,-323798832.66747975,-13.31201,383306566.4471,695658160.9671,,7.96,-30.43054,2021-04-09T10:19:25.352Z,0.02620268,21028.67425,2018-12-07T00:00:00.000Z,"{'times': 17.454262654270067, 'currency': 'usd', 'percentage': 1745.4262654270067}",2021-04-23T06:40:54.446Z,19
54,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,2.2,2088689273,55,,3365364,2.28,2.16,0.01035298,0.47341,1610654.0,0.07717,955599665.9,985239504.0,,2.28,-3.64122,2021-04-22T22:20:31.208Z,0.799859,174.70233,2019-12-24T15:14:35.376Z,,2021-04-23T06:41:00.040Z,57
55,havven,snx,Synthetix Network Token,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,13.56,2055502256,56,3032968015.0,285222380,17.72,13.53,-2.85167605,-17.37457,-432495296.2612706,-17.38327,151896544.10641378,224128851.490365,224128851.490365,28.53,-52.57214,2021-02-14T01:12:38.505Z,0.0347864,38800.98623,2019-01-06T00:00:00.000Z,"{'times': 26.1225141867585, 'currency': 'usd', 'percentage': 2612.25141867585}",2021-04-23T06:41:10.473Z,80
56,blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,1.86,1961123035,58,,167769076,2.43,1.72,-0.42895428,-18.7141,-451500746.49925965,-18.7141,1052561461.68777,1818000000.0,,2.92,-36.16587,2021-04-05T13:34:27.931Z,0.04559639,3986.26844,2020-03-13T02:29:26.415Z,"{'times': 14.52659160948149, 'currency': 'usd', 'percentage': 1452.659160948149}",2021-04-23T06:39:27.711Z,82
57,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.366038,1956131423,57,,1341586074,0.529687,0.376694,-0.16310053,-30.82378,-866220368.6708403,-30.69144,5344064580.0,8888888888.0,,0.878633,-58.34006,2021-03-13T08:04:21.200Z,0.00410887,8808.47674,2019-09-28T00:00:00.000Z,"{'times': 15.638096970585536, 'currency': 'usd', 'percentage': 1563.8096970585536}",2021-04-23T06:39:43.331Z,22
58,terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.01,1876697427,59,,123069056,1.02,0.9872,0.01018586,1.0176,36401928.0,1.97805,1855997114.44182,1855979497.72187,,1.09,-7.97493,2021-01-11T22:30:57.984Z,0.928005,8.27834,2021-01-21T10:19:07.278Z,,2021-04-23T06:40:08.828Z,91
59,hedera-hashgraph,hbar,Hedera Hashgraph,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,0.228836,1850051928,60,,253388320,0.306387,0.208682,-0.07330635,-24.26219,-534696070.5479226,-22.42149,8084619285.0,50000000000.0,,0.448365,-48.96213,2021-03-15T01:53:34.974Z,0.00986111,2220.59057,2020-01-02T17:30:24.852Z,,2021-04-23T06:39:33.165Z,46
60,bitcoin-gold,btg,Bitcoin Gold,https://assets.coingecko.com/coins/images/1043/large/bitcoin-gold-logo.png?1547034978,105.13,1841281956,64,,1514072381,107.95,71.98,19.2,22.34656,343072696.0,22.89885,17513924.0,21000000.0,,456.25,-76.95708,2017-12-20T00:00:00.000Z,4.25,2371.11905,2020-03-13T02:22:52.902Z,,2021-04-23T06:39:58.923Z,14
61,holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.01011269,1794732796,61,,528858256,0.01528277,0.01010437,-0.00517007,-33.82944,-925384700.401181,-34.02003,177619433541.141,177619433541.141,,0.03126682,-67.68341,2021-04-05T16:04:52.608Z,0.0002202,4488.74786,2020-03-13T02:23:01.612Z,"{'times': 19.455462753707813, 'currency': 'eth', 'percentage': 1945.5462753707814}",2021-04-23T06:41:51.711Z,49
62,enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,1.91,1784352092,62,1909799657.0,544240780,2.56,1.8,-0.61756417,-24.39387,-577976394.8926253,-24.46639,934313756.7192237,1000000000.0,1000000000.0,3.94,-51.56226,2021-04-09T12:29:27.777Z,0.01865964,10134.92075,2017-11-12T00:00:00.000Z,,2021-04-23T06:40:59.974Z,35
